movies,similar
Toy Story (1995),"Toy Story 2 (1999);Space Jam (1996);Bug's Life, A (1998);James and the Giant Peach (1996);Monsters, Inc. (2001);Muppet Treasure Island (1996);101 Dalmatians (1996);Matilda (1996);Jack (1996);Lion King, The (1994)"
Jumanji (1995),"Casper (1995);Santa Clause, The (1994);Indian in the Cupboard, The (1995);Flintstones, The (1994);Mighty Morphin Power Rangers: The Movie (1995);Kid in King Arthur's Court, A (1995);Free Willy (1993);NeverEnding Story III, The (1994);Junior (1994);Congo (1995)"
Grumpier Old Men (1995),"Multiplicity (1996);Father of the Bride Part II (1995);Down Periscope (1996);Sgt. Bilko (1996);Striptease (1996);Two if by Sea (1996);Mr. Wrong (1996);Celtic Pride (1996);Juror, The (1996);Eddie (1996)"
Waiting to Exhale (1995),"Boys on the Side (1995);Losing Isaiah (1995);Something to Talk About (1995);Corrina, Corrina (1994);When a Man Loves a Woman (1994);Cure, The (1995);To Wong Foo, Thanks for Everything! Julie Newmar (1995);Moonlight and Valentino (1995);How to Make an American Quilt (1995);Scarlet Letter, The (1995)"
Father of the Bride Part II (1995),Grumpier Old Men (1995);Two if by Sea (1996);Bed of Roses (1996);Up Close and Personal (1996);Mr. Wrong (1996);Down Periscope (1996);Sgt. Bilko (1996);Homeward Bound II: Lost in San Francisco (1996);Multiplicity (1996);Eddie (1996)
Heat (1995),Casino (1995);Carlito's Way (1993);City Hall (1996);Things to Do in Denver When You're Dead (1995);Ronin (1998);True Romance (1993);Leaving Las Vegas (1995);Donnie Brasco (1997);Desperado (1995);Mulholland Falls (1996)
Sabrina (1995),"Up Close and Personal (1996);Bed of Roses (1996);Truth About Cats & Dogs, The (1996);Mirror Has Two Faces, The (1996);Father of the Bride Part II (1995);Two if by Sea (1996);Phenomenon (1996);One Fine Day (1996);Grumpier Old Men (1995);Preacher's Wife, The (1996)"
Tom and Huck (1995),"Kid in King Arthur's Court, A (1995);Lassie (1994);Gold Diggers: The Secret of Bear Mountain (1995);Amazing Panda Adventure, The (1995);Big Green, The (1995);Little Rascals, The (1994);Free Willy (1993);Richie Rich (1994);Dunston Checks In (1996);Operation Dumbo Drop (1995)"
Sudden Death (1995),"Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996);Quest, The (1996);Substitute, The (1996);Executive Decision (1996);Eraser (1996);Striptease (1996);Lawnmower Man 2: Beyond Cyberspace (1996);Barb Wire (1996);Broken Arrow (1996);Sgt. Bilko (1996)"
GoldenEye (1995),"Waterworld (1995);Tomorrow Never Dies (1997);Cliffhanger (1993);Batman Forever (1995);World Is Not Enough, The (1999);Die Hard: With a Vengeance (1995);Outbreak (1995);Stargate (1994);Under Siege 2: Dark Territory (1995);True Lies (1994)"
"American President, The (1995)","Dave (1993);Sleepless in Seattle (1993);While You Were Sleeping (1995);French Kiss (1995);I.Q. (1994);Forget Paris (1995);It Could Happen to You (1994);Sabrina (1995);Speechless (1994);Walk in the Clouds, A (1995)"
Dracula: Dead and Loving It (1995),Spy Hard (1996);Bio-Dome (1996);Sgt. Bilko (1996);Down Periscope (1996);Lawnmower Man 2: Beyond Cyberspace (1996);High School High (1996);Children of the Corn IV: The Gathering (1996);Celtic Pride (1996);Joe's Apartment (1996);House Arrest (1996)
Balto (1995),"Land Before Time III: The Time of the Great Giving (1995);Oliver & Company (1988);Swan Princess, The (1994);Aladdin and the King of Thieves (1996);Goofy Movie, A (1995);Return of Jafar, The (1994);Homeward Bound: The Incredible Journey (1993);Quest for Camelot (1998);Pagemaster, The (1994);Thumbelina (1994)"
Nixon (1995),"City Hall (1996);Mighty Aphrodite (1995);Crossing Guard, The (1995);Georgia (1995);Cry, the Beloved Country (1995);Once Upon a Time... When We Were Colored (1995);Dead Man Walking (1995);Restoration (1995);Othello (1995);Family Thing, A (1996)"
Cutthroat Island (1995),"Shadow, The (1994);Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994);Terminal Velocity (1994);Virtuosity (1995);Vampire in Brooklyn (1995);Three Musketeers, The (1993);Operation Dumbo Drop (1995);Drop Zone (1994);Fair Game (1995);Hunted, The (1995)"
Casino (1995),"Carlito's Way (1993);Bronx Tale, A (1993);Heat (1995);Donnie Brasco (1997);Goodfellas (1990);Scarface (1983);True Romance (1993);Jackie Brown (1997);Menace II Society (1993);Boogie Nights (1997)"
Sense and Sensibility (1995),"Emma (1996);Persuasion (1995);Jane Eyre (1996);Remains of the Day, The (1993);Shadowlands (1993);Much Ado About Nothing (1993);Postman, The (Postino, Il) (1994);Little Women (1994);Like Water for Chocolate (Como agua para chocolate) (1992);Cold Comfort Farm (1995)"
Four Rooms (1995),"Things to Do in Denver When You're Dead (1995);Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Kids in the Hall: Brain Candy (1996);Last Supper, The (1995);Great White Hype, The (1996);Mad Dog Time (1996);Feeling Minnesota (1996);Girl 6 (1996);2 Days in the Valley (1996);Sleepers (1996)"
Ace Ventura: When Nature Calls (1995),"Ace Ventura: Pet Detective (1994);Dumb & Dumber (Dumb and Dumber) (1994);Mask, The (1994);Naked Gun 33 1/3: The Final Insult (1994);Hot Shots! Part Deux (1993);Beverly Hills Cop III (1994);Major Payne (1995);Coneheads (1993);Tommy Boy (1995);National Lampoon's Senior Trip (1995)"
Money Train (1995),Terminal Velocity (1994);Fair Game (1995);Striking Distance (1993);Assassins (1995);Drop Zone (1994);Virtuosity (1995);Under Siege 2: Dark Territory (1995);Hard Target (1993);Sliver (1993);Vampire in Brooklyn (1995)
Get Shorty (1995),"Quiz Show (1994);Ed Wood (1994);Bullets Over Broadway (1994);To Die For (1995);Madness of King George, The (1994);Babe (1995);Four Weddings and a Funeral (1994);Clueless (1995);Don Juan DeMarco (1995);Natural Born Killers (1994)"
Copycat (1995),"Just Cause (1995);Murder in the First (1995);Jade (1995);Malice (1993);Trial by Jury (1994);Blink (1994);Hideaway (1995);Dolores Claiborne (1995);Tie That Binds, The (1995);Sliver (1993)"
Assassins (1995),"Drop Zone (1994);Fair Game (1995);Money Train (1995);Terminal Velocity (1994);Virtuosity (1995);Striking Distance (1993);Jade (1995);Under Siege 2: Dark Territory (1995);Hunted, The (1995);Specialist, The (1994)"
Powder (1995),"Scarlet Letter, The (1995);Man Without a Face, The (1993);War, The (1994);Three Wishes (1995);Babysitter, The (1995);Cure, The (1995);With Honors (1994);Fluke (1995);Waiting to Exhale (1995);NeverEnding Story III, The (1994)"
Leaving Las Vegas (1995),"Dead Man Walking (1995);Nixon (1995);Mighty Aphrodite (1995);Blue in the Face (1995);Smoke (1995);Postman, The (Postino, Il) (1994);Georgia (1995);Beautiful Girls (1996);Things to Do in Denver When You're Dead (1995);Short Cuts (1993)"
Othello (1995),"Cry, the Beloved Country (1995);Richard III (1995);Restoration (1995);Moll Flanders (1996);In the Bleak Midwinter (1995);Stealing Beauty (1996);Jane Eyre (1996);Once Upon a Time... When We Were Colored (1995);Anne Frank Remembered (1995);Star Maker, The (Uomo delle stelle, L') (1995)"
Now and Then (1995),"Mad Love (1995);Cure, The (1995);Baby-Sitters Club, The (1995);It Takes Two (1995);Gold Diggers: The Secret of Bear Mountain (1995);Waiting to Exhale (1995);Something to Talk About (1995);Corrina, Corrina (1994);Three Wishes (1995);Poetic Justice (1993)"
Persuasion (1995),"Emma (1996);Carrington (1995);Shadowlands (1993);Sense and Sensibility (1995);Enchanted April (1992);Age of Innocence, The (1993);Cold Comfort Farm (1995);Eat Drink Man Woman (Yin shi nan nu) (1994);Remains of the Day, The (1993);Secret of Roan Inish, The (1994)"
"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Delicatessen (1991);Brazil (1985);Until the End of the World (Bis ans Ende der Welt) (1991);Dead Man (1995);Faust (1994);Man Bites Dog (C'est arrivé près de chez vous) (1992);Microcosmos (Microcosmos: Le peuple de l'herbe) (1996);Secret Adventures of Tom Thumb, The (1993);Pi (1998);Metropolis (1927)"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"To Live (Huozhe) (1994);Before the Rain (Pred dozhdot) (1994);Ladybird Ladybird (1994);Burnt by the Sun (Utomlyonnye solntsem) (1994);Nelly & Monsieur Arnaud (1995);Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994);White Balloon, The (Badkonake sefid) (1995);Angels and Insects (1995);Farewell My Concubine (Ba wang bie ji) (1993);Vanya on 42nd Street (1994)"
Dangerous Minds (1995),"Nine Months (1995);Milk Money (1994);Cure, The (1995);Junior (1994);Scarlet Letter, The (1995);When a Man Loves a Woman (1994);Losing Isaiah (1995);Bad Girls (1994);Mad Love (1995);Exit to Eden (1994)"
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Fifth Element, The (1997);Usual Suspects, The (1995);Natural Born Killers (1994);Interview with the Vampire: The Vampire Chronicles (1994);Strange Days (1995);Leaving Las Vegas (1995);City of Lost Children, The (Cité des enfants perdus, La) (1995);Mystery Science Theater 3000: The Movie (1996);Seven (a.k.a. Se7en) (1995);Crow: City of Angels, The (1996)"
Babe (1995),"Babe: Pig in the City (1998);Santa Clause, The (1994);Get Shorty (1995);Beauty and the Beast (1991);Little Women (1994);Quiz Show (1994);Little Princess, A (1995);Secret Garden, The (1993);Indian in the Cupboard, The (1995);Miracle on 34th Street (1994)"
Carrington (1995),"Tom & Viv (1994);Strawberry and Chocolate (Fresa y chocolate) (1993);Month by the Lake, A (1995);Awfully Big Adventure, An (1995);Farinelli: il castrato (1994);Picture Bride (Bijo photo) (1994);Widows' Peak (1994);Queen Margot (Reine Margot, La) (1994);Age of Innocence, The (1993);Priest (1994)"
Dead Man Walking (1995),"Nixon (1995);Leaving Las Vegas (1995);Anne Frank Remembered (1995);Postman, The (Postino, Il) (1994);City Hall (1996);Mighty Aphrodite (1995);Lone Star (1996);Cry, the Beloved Country (1995);Mr. Holland's Opus (1995);Antonia's Line (Antonia) (1995)"
It Takes Two (1995),"Baby-Sitters Club, The (1995);Gold Diggers: The Secret of Bear Mountain (1995);Big Green, The (1995);Richie Rich (1994);Little Rascals, The (1994);Dunston Checks In (1996);Tom and Huck (1995);Man of the House (1995);Race the Sun (1996);Now and Then (1995)"
Clueless (1995),"Brady Bunch Movie, The (1995);Reality Bites (1994);To Die For (1995);While You Were Sleeping (1995);Muriel's Wedding (1994);Circle of Friends (1995);Miami Rhapsody (1995);Addams Family Values (1993);French Kiss (1995);Truth About Cats & Dogs, The (1996)"
"Cry, the Beloved Country (1995)","Once Upon a Time... When We Were Colored (1995);Restoration (1995);Moll Flanders (1996);Anne Frank Remembered (1995);Othello (1995);Journey of August King, The (1995);Family Thing, A (1996);Jane Eyre (1996);Month by the Lake, A (1995);Georgia (1995)"
Richard III (1995),"Othello (1995);Angels and Insects (1995);In the Bleak Midwinter (1995);Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);Cold Comfort Farm (1995);Restoration (1995);Antonia's Line (Antonia) (1995);Cry, the Beloved Country (1995);Looking for Richard (1996);French Twist (Gazon maudit) (1995)"
Dead Presidents (1995),"Judgment Night (1993);Menace II Society (1993);Bad Company (1995);New Jersey Drive (1995);Kiss of Death (1995);Jason's Lyric (1994);Panther (1995);Higher Learning (1995);Truth or Consequences, N.M. (1997);Program, The (1993)"
Restoration (1995),"Cry, the Beloved Country (1995);Moll Flanders (1996);Once Upon a Time... When We Were Colored (1995);Angels and Insects (1995);Jane Eyre (1996);Georgia (1995);Othello (1995);French Twist (Gazon maudit) (1995);Anne Frank Remembered (1995);Journey of August King, The (1995)"
