scorer,value,alpha,lambda,rank
loss,0.628419712609098,0.01,0.01,8
loss,0.623354911050564,0.05,0.01,8
loss,0.617753951839531,0.1,0.01,8
loss,0.513002896989351,1,0.01,8
loss,0.586204125511649,0.01,0.01,16
loss,0.580704730409199,0.05,0.01,16
loss,0.573573123444305,0.1,0.01,16
loss,0.468771067661707,1,0.01,16
loss,0.629553831953697,0.01,0.05,8
loss,0.621757600064492,0.05,0.05,8
loss,0.615085835622227,0.1,0.05,8
loss,0.514809372499232,1,0.05,8
loss,0.589028797051153,0.01,0.05,16
loss,0.580987011427471,0.05,0.05,16
loss,0.573281888289696,0.1,0.05,16
loss,0.631675597039096,0.01,0.1,8
loss,0.622885104878703,0.05,0.1,8
loss,0.616392841246372,0.1,0.1,8
loss,0.515482807222903,1,0.1,8
loss,0.587568754583603,0.01,0.1,16
loss,0.581446134972746,0.05,0.1,16
loss,0.573559023839286,0.1,0.1,16
loss,0.633209471941134,0.01,1,8
loss,0.622619781126934,0.05,1,8
loss,0.616571330837095,0.1,1,8
loss,0.516638756615026,1,1,8
loss,0.588961079473635,0.01,1,16
loss,0.582597431299964,0.05,1,16
loss,0.574873221091781,0.1,1,16
loss,0.644004116222397,0.1,10,8
loss,0.651774975530506,0.05,15,8
loss,0.543665932121271,0.01,0.01,32
loss,0.536708817994049,0.05,0.01,32
loss,0.529268096345495,0.1,0.01,32
loss,0.425823917317641,1,0.01,32
loss,0.528764794031457,0.01,0.01,40
loss,0.522181170881975,0.05,0.01,40
loss,0.514628811944668,0.1,0.01,40
loss,0.412513657456511,1,0.01,40
loss,0.478233248220189,0.01,0.01,80
loss,0.471813169031692,0.05,0.01,80
loss,0.464438632216046,0.1,0.01,80
loss,0.367968071558409,1,0.01,80
loss,0.467258103641151,1,0.05,16
loss,0.543017875554081,0.01,0.05,32
loss,0.537697903041829,0.05,0.05,32
loss,0.529419344062679,0.1,0.05,32
loss,0.426470731779544,1,0.05,32
loss,0.529180177832601,0.01,0.05,40
loss,0.523169766290475,0.05,0.05,40
loss,0.515031586529307,0.1,0.05,40
loss,0.413309891603883,1,0.05,40
loss,0.479178726416019,0.01,0.05,80
loss,0.47257987021168,0.05,0.05,80
loss,0.46521027200525,0.1,0.05,80
loss,0.368308049347964,1,0.05,80
loss,0.469318316930897,1,0.1,16
loss,0.543833038420518,0.01,0.1,32
loss,0.537537882836226,0.05,0.1,32
loss,0.528732049933863,0.1,0.1,32
loss,0.426761316167562,1,0.1,32
loss,0.530630646871016,0.01,0.1,40
loss,0.52343831314983,0.05,0.1,40
loss,0.51542595622328,0.1,0.1,40
loss,0.413803777298711,1,0.1,40
loss,0.479749873527983,0.01,0.1,80
loss,0.473259926390576,0.05,0.1,80
loss,0.465758200252385,0.1,0.1,80
loss,0.369454452220914,1,0.1,80
loss,0.469531484066136,1,1,16
loss,0.545673729924807,0.01,1,32
loss,0.539920313627483,0.05,1,32
loss,0.531528941879833,0.1,1,32
loss,0.42948194163142,1,1,32
loss,0.531957799486499,0.01,1,40
loss,0.525219027948917,0.05,1,40
loss,0.517551650696278,0.1,1,40
loss,0.416296540321601,1,1,40
loss,0.482674753438579,0.01,1,80
loss,0.476497117154127,0.05,1,80
loss,0.468720853146758,0.1,1,80
loss,0.372405308816524,1,1,80
loss,0.659021737704916,0.01,10,8
loss,0.656478709454817,0.05,10,8
loss,0.542899563607114,1,10,8
loss,0.663100368500939,0.01,15,8
loss,0.648544312399601,0.1,15,8
loss,0.535820147891399,1,15,8
loss,0.628846962435596,0.01,15,16
loss,0.614383362528019,0.1,15,16
loss,0.619521274391555,0.01,10,16
loss,0.613351192244509,0.05,10,16
loss,0.605780474813085,0.1,10,16
loss,0.497794918451997,1,10,16
loss,0.585442090878573,0.01,10,32
loss,0.577847418103865,0.05,10,32
loss,0.569731480555444,0.1,10,32
loss,0.457905033751927,1,10,32
loss,0.573083185286565,0.01,10,40
loss,0.566283315749199,0.05,10,40
loss,0.557740277236561,0.1,10,40
loss,0.445113384997418,1,10,40
loss,0.403090915401427,1,10,80
loss,0.619002477418242,0.05,15,16
loss,0.594024086397672,0.01,15,32
loss,0.586711154784289,0.05,15,32
loss,0.579220540917742,0.1,15,32
loss,0.583966369334295,0.01,15,40
loss,0.577517628901657,0.05,15,40
loss,0.569156386547988,0.1,15,40
loss,0.529903020052981,0.01,10,80
loss,0.521217282852451,0.05,10,80
loss,0.515152912561432,0.1,10,80
loss,0.504908697361269,1,15,16
loss,0.468192347040869,1,15,32
loss,0.457868219983042,1,15,40
loss,0.547485507031371,0.01,15,80
loss,0.539823606552361,0.05,15,80
loss,0.53100936932963,0.1,15,80
loss,0.41986323296055,1,15,80
